taxon,Standard_Length,Eye_Width,Buccal_Width
Haemulon_striatum,2.112269768,1.051152522,1.027349608
Haemulon_steindachneri_Pacific,2.254475568,1.169380495,1.31386722
Haemulon_macrsotomum,2.29076895,1.235528447,1.284881715
Anisotremus_caesius,2.198657087,1.146128036,1.206825876
Haemulon_carbonarium,2.084576278,1.15075644,1.056904851
Anisotremus_davidsonii,2.380211242,1.231214648,1.306853749
Anisotremus_dovii,2.244697601,1.196728723,1.212187604
Anisotremus_interruptus,2.237216889,1.155336037,1.278067331
Haemulon_chrysargyreum,2.102090526,1.135132651,1.068185862
Xenichthys_xantii,2.214843848,1.271841607,1.051923916
Anisotremus_surinamensis,2.195899652,1.195899652,1.165837625
Haemulopsis_leuciscus,2.336459734,1.178113252,1.348888723
Isacia_conceptionis,2.261667229,1.079181246,1.071882007
Haemulon_album,2.320146286,1.188928484,1.325310372
Haemulon_plumieri,2.284047032,1.170261715,1.268811904
Anisotremus_moricandi,2.103803721,1.139879086,1.100370545
Haemulopsis_axillaris,2.219243872,1.121559844,1.0923697
Orthopristis_reddingi,2.292986667,1.157456768,1.147057671
Haemulon_boschmae,1.897627091,0.880813592,0.681241237
Haemulon_scudderi_N.sp,2.285557309,1.231724383,1.201397124
Xenistius_californiensis,2.128173015,1.122870923,1.051923916
Microlepidotus_brevipinnis,2.283301229,1.187520721,1.030599722
Pomadasys_crocro,2.315970345,1.184691431,1.318063335
Conodon_serrifer,2.254064453,1.131939295,1.254064453
Inermia_vittata,2.211307467,1.05422991,0.880813592
Anisotremus_scapularis,2.250420002,1.108903128,1.263636069
Haemulon_flavolineatum,2.1430148,1.173186268,1.245512668
Haemulopsis_elongatus,2.294466226,1.152288344,1.086359831
Haemulon_sciurus,2.286680969,1.240549248,1.314920056
Anisotremus_pacifici,2.1430148,1.136720567,0.986771734
Haemulon_maculicauda,2.244697601,1.187520721,1.248708736
Microlepidotus_inornatus,2.386498966,1.198657087,1.319106059
Anisotremus_virginicus,2.322219295,1.155336037,1.357934847
Haemulon_steindachneri_Atlantic,2.102673771,1.103803721,1.166430114
Pomadasys_branickii,2.268343914,1.225309282,1.374748346
Pomadasys_panamensis,2.274919506,1.199480915,1.264817823
Orthopristis_chrysoptera,2.320831473,1.094471129,1.241297387
Orthopristis_ruber,2.320146286,1.191730393,1.216165902
Haemulopsis_nitidus,2.155336037,1.071882007,1.146128036
Haemulon_melanurum,2.184691431,1.093421685,1.198657087
Haemulon_sexfasciatum,2.315970345,1.197280558,1.208172527
Pomadasys_corvinaeformis,2.159867847,1.056904851,1.201397124
Haemulon_atlahua_N.sp,2.306060282,1.1532049,1.40654018
Conodon_nobilis,2.293362555,1.156851901,1.419129308
Orthopristis_chalceus,2.282554143,1.1752218,1.070776463
Pomadasys_macracanthus,2.328379603,1.201397124,1.230448921
Haemulon_aurolineatum,2.206825876,1.136720567,1.281033367
Haemulon_flaviguttatum,2.368286885,1.227886705,1.276461804
Haemulon_scudderi,2.307496038,1.183269844,1.226599905
Haemulon_parra,2.419955748,1.26245109,1.459392488
